iemocap_wavs4/spk0000-0001.wav,Ses03M_impro05a_M012.wav,spk0000,0001,Anger
iemocap_wavs4/spk0001-0002.wav,Ses02M_impro06_M002.wav,spk0001,0002,Sadness
iemocap_wavs4/spk0002-0003.wav,Ses01F_impro06_F008.wav,spk0002,0003,Sadness
iemocap_wavs4/spk0003-0004.wav,Ses03F_impro02_F031.wav,spk0003,0004,Sadness
iemocap_wavs4/spk0002-0005.wav,Ses01F_impro06_F022.wav,spk0002,0005,Sadness
iemocap_wavs4/spk0000-0006.wav,Ses03M_impro02_M006.wav,spk0000,0006,Sadness
iemocap_wavs4/spk0004-0007.wav,Ses05F_script01_3_F026.wav,spk0004,0007,Happiness
iemocap_wavs4/spk0001-0008.wav,Ses02M_impro05_F017.wav,spk0001,0008,Neutral state
iemocap_wavs4/spk0005-0009.wav,Ses01M_impro06_M018.wav,spk0005,0009,Sadness
iemocap_wavs4/spk0006-0010.wav,Ses05M_impro06_M000.wav,spk0006,0010,Sadness
iemocap_wavs4/spk0002-0011.wav,Ses01F_script03_2_F037.wav,spk0002,0011,Anger
iemocap_wavs4/spk0002-0012.wav,Ses01F_impro04_M006.wav,spk0002,0012,Neutral state
iemocap_wavs4/spk0007-0013.wav,Ses02F_script01_1_M037.wav,spk0007,0013,Anger
iemocap_wavs4/spk0008-0014.wav,Ses04F_impro01_F012.wav,spk0008,0014,Anger
iemocap_wavs4/spk0002-0015.wav,Ses01F_script03_2_F032.wav,spk0002,0015,Neutral state
iemocap_wavs4/spk0003-0016.wav,Ses03F_script01_1_M042.wav,spk0003,0016,Neutral state
iemocap_wavs4/spk0003-0017.wav,Ses03F_impro04_M018.wav,spk0003,0017,Neutral state
iemocap_wavs4/spk0008-0018.wav,Ses04F_impro05_F018.wav,spk0008,0018,Anger
iemocap_wavs4/spk0003-0019.wav,Ses03F_impro06_M000.wav,spk0003,0019,Neutral state
iemocap_wavs4/spk0003-0020.wav,Ses03F_impro08_F024.wav,spk0003,0020,Neutral state
iemocap_wavs4/spk0002-0021.wav,Ses01F_script02_2_M037.wav,spk0002,0021,Sadness
iemocap_wavs4/spk0003-0022.wav,Ses03F_impro08_M010.wav,spk0003,0022,Anger
iemocap_wavs4/spk0006-0023.wav,Ses05M_impro05_F019.wav,spk0006,0023,Neutral state
iemocap_wavs4/spk0002-0024.wav,Ses01F_impro04_M010.wav,spk0002,0024,Neutral state
iemocap_wavs4/spk0002-0025.wav,Ses01F_impro03_M024.wav,spk0002,0025,Neutral state
iemocap_wavs4/spk0004-0026.wav,Ses05F_script02_2_M036.wav,spk0004,0026,Happiness
